date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,lat,long
2020-02-25,Brazil,SP,TOTAL,0,0,1,1,0,0,0.0,0.00218,0.0,,,,,-23.5329,-46.6395
2020-02-26,Brazil,SP,TOTAL,0,0,0,1,0,1,0.0,0.00218,0.0,,,,,-23.5329,-46.6395
2020-02-27,Brazil,SP,TOTAL,0,0,0,1,0,1,0.0,0.00218,0.0,,,,,-23.5329,-46.6395
2020-02-28,Brazil,SP,TOTAL,0,0,1,2,0,1,0.0,0.00436,0.0,,,,,-23.5329,-46.6395
2020-02-29,Brazil,SP,TOTAL,0,0,0,2,0,2,0.0,0.00436,0.0,,,,,-23.5329,-46.6395
2020-03-01,Brazil,SP,TOTAL,0,0,0,2,0,2,0.0,0.00436,0.0,,,,,-23.5329,-46.6395
2020-03-02,Brazil,SP,TOTAL,0,0,0,2,0,2,0.0,0.00436,0.0,,,,,-23.5329,-46.6395
2020-03-03,Brazil,SP,TOTAL,0,0,0,2,0,2,0.0,0.00436,0.0,,,,,-23.5329,-46.6395
2020-03-04,Brazil,SP,TOTAL,0,0,1,3,0,3,0.0,0.006529999999999999,0.0,,,,,-23.5329,-46.6395
2020-03-05,Brazil,RJ,TOTAL,0,0,1,1,0,1,0.0,0.00579,0.0,,,,,-22.9129,-43.2003
2020-03-05,Brazil,SP,TOTAL,0,0,3,6,0,6,0.0,0.013069999999999998,0.0,,,,,-23.5329,-46.6395
2020-03-06,Brazil,BA,TOTAL,0,0,1,1,0,1,0.0,0.00672,0.0,,,,,-12.9718,-38.5011
2020-03-06,Brazil,ES,TOTAL,0,0,1,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-06,Brazil,RJ,TOTAL,0,0,1,2,0,1,0.0,0.01158,0.0,,,,,-22.9129,-43.2003
2020-03-06,Brazil,SP,TOTAL,0,0,4,10,0,10,0.0,0.02178,0.0,,,,,-23.5329,-46.6395
2020-03-07,Brazil,BA,TOTAL,0,0,1,2,0,2,0.0,0.01345,0.0,,,,,-12.9718,-38.5011
2020-03-07,Brazil,DF,TOTAL,0,0,1,1,0,1,0.0,0.03316,0.0,,,,,-15.7795,-47.9297
2020-03-07,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-07,Brazil,RJ,TOTAL,0,0,0,2,0,2,0.0,0.01158,0.0,,,,,-22.9129,-43.2003
2020-03-07,Brazil,SP,TOTAL,0,0,3,13,0,13,0.0,0.028310000000000002,0.0,,,,,-23.5329,-46.6395
2020-03-08,Brazil,AL,TOTAL,0,0,1,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-08,Brazil,BA,TOTAL,0,0,0,2,0,2,0.0,0.01345,0.0,,,,,-12.9718,-38.5011
2020-03-08,Brazil,DF,TOTAL,0,0,0,1,0,1,0.0,0.03316,0.0,,,,,-15.7795,-47.9297
2020-03-08,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-08,Brazil,MG,TOTAL,0,0,1,1,0,1,0.0,0.00472,0.0,,,,,-19.9102,-43.9266
2020-03-08,Brazil,RJ,TOTAL,0,0,1,3,0,3,0.0,0.01738,0.0,,,,,-22.9129,-43.2003
2020-03-08,Brazil,SP,TOTAL,0,0,3,16,0,16,0.0,0.034839999999999996,0.0,,,,,-23.5329,-46.6395
2020-03-09,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-09,Brazil,BA,TOTAL,0,0,0,2,0,2,0.0,0.01345,0.0,,,,,-12.9718,-38.5011
2020-03-09,Brazil,DF,TOTAL,0,0,0,1,0,1,0.0,0.03316,0.0,,,,,-15.7795,-47.9297
2020-03-09,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-09,Brazil,MG,TOTAL,0,0,0,1,0,1,0.0,0.00472,0.0,,,,,-19.9102,-43.9266
2020-03-09,Brazil,RJ,TOTAL,0,0,0,3,0,3,0.0,0.01738,0.0,,,,,-22.9129,-43.2003
2020-03-09,Brazil,SP,TOTAL,0,0,0,16,0,16,0.0,0.034839999999999996,0.0,,,,,-23.5329,-46.6395
2020-03-10,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-10,Brazil,BA,TOTAL,0,0,0,2,0,2,0.0,0.01345,0.0,,,,,-12.9718,-38.5011
2020-03-10,Brazil,DF,TOTAL,0,0,0,1,0,1,0.0,0.03316,0.0,,,,,-15.7795,-47.9297
2020-03-10,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-10,Brazil,MG,TOTAL,0,0,0,1,0,1,0.0,0.00472,0.0,,,,,-19.9102,-43.9266
2020-03-10,Brazil,RJ,TOTAL,0,0,5,8,0,8,0.0,0.04634,0.0,,,,,-22.9129,-43.2003
2020-03-10,Brazil,RS,TOTAL,0,0,1,1,0,1,0.0,0.008790000000000001,0.0,,,,,-30.0318,-51.2065
2020-03-10,Brazil,SP,TOTAL,0,0,3,19,0,19,0.0,0.04138,0.0,,,,,-23.5329,-46.6395
2020-03-11,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-11,Brazil,BA,TOTAL,0,0,1,3,0,2,0.0,0.02017,0.0,,,,,-12.9718,-38.5011
2020-03-11,Brazil,DF,TOTAL,0,0,1,2,0,2,0.0,0.06633,0.0,,,,,-15.7795,-47.9297
2020-03-11,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-11,Brazil,MG,TOTAL,0,0,0,1,0,1,0.0,0.00472,0.0,,,,,-19.9102,-43.9266
2020-03-11,Brazil,RJ,TOTAL,0,0,5,13,0,13,0.0,0.0753,0.0,,,,,-22.9129,-43.2003
2020-03-11,Brazil,RS,TOTAL,0,0,1,2,0,2,0.0,0.017580000000000002,0.0,,,,,-30.0318,-51.2065
2020-03-11,Brazil,SP,TOTAL,0,0,11,30,0,30,0.0,0.06533,0.0,,,,,-23.5329,-46.6395
2020-03-12,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-12,Brazil,BA,TOTAL,0,0,0,3,0,2,0.0,0.02017,0.0,,,,,-12.9718,-38.5011
2020-03-12,Brazil,DF,TOTAL,0,0,0,2,0,2,0.0,0.06633,0.0,,,,,-15.7795,-47.9297
2020-03-12,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-12,Brazil,GO,TOTAL,0,0,3,3,0,0,0.0,0.04275,0.0,,,,,-16.6864,-49.2643
2020-03-12,Brazil,MG,TOTAL,0,0,1,2,0,1,0.0,0.00945,0.0,,,,,-19.9102,-43.9266
2020-03-12,Brazil,PE,TOTAL,0,0,2,2,0,2,0.0,0.02093,0.0,,,,,-8.046660000000001,-34.8771
2020-03-12,Brazil,PR,TOTAL,0,0,6,6,0,6,0.0,0.05248,0.0,,,,,-25.4195,-49.2646
2020-03-12,Brazil,RJ,TOTAL,0,0,3,16,0,16,0.0,0.09267,0.0,,,,,-22.9129,-43.2003
2020-03-12,Brazil,RN,TOTAL,0,0,1,1,0,0,0.0,0.02852,0.0,,,,,-5.79357,-35.1986
2020-03-12,Brazil,RS,TOTAL,0,0,2,4,0,4,0.0,0.035160000000000004,0.0,,,,,-30.0318,-51.2065
2020-03-12,Brazil,SC,TOTAL,0,0,2,2,0,0,0.0,0.02791,0.0,,,,,-27.5945,-48.5477
2020-03-12,Brazil,SP,TOTAL,0,0,16,46,0,42,0.0,0.10017999999999999,0.0,,,,,-23.5329,-46.6395
2020-03-13,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-13,Brazil,AM,TOTAL,0,0,2,2,0,0,0.0,0.048260000000000004,0.0,,,,,-3.1186599999999998,-60.0212
2020-03-13,Brazil,BA,TOTAL,0,0,4,7,0,2,0.0,0.047060000000000005,0.0,,,,,-12.9718,-38.5011
2020-03-13,Brazil,DF,TOTAL,0,0,0,2,0,2,0.0,0.06633,0.0,,,,,-15.7795,-47.9297
2020-03-13,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,-20.3155,-40.3128
2020-03-13,Brazil,GO,TOTAL,0,0,0,3,0,3,0.0,0.04275,0.0,,,,,-16.6864,-49.2643
2020-03-13,Brazil,MG,TOTAL,0,0,0,2,0,2,0.0,0.00945,0.0,,,,,-19.9102,-43.9266
2020-03-13,Brazil,PE,TOTAL,0,0,0,2,0,2,0.0,0.02093,0.0,,,,,-8.046660000000001,-34.8771
2020-03-13,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,-25.4195,-49.2646
2020-03-13,Brazil,RJ,TOTAL,0,0,0,16,0,16,0.0,0.09267,0.0,,,,,-22.9129,-43.2003
2020-03-13,Brazil,RN,TOTAL,0,0,0,1,0,1,0.0,0.02852,0.0,,,,,-5.79357,-35.1986
2020-03-13,Brazil,RS,TOTAL,0,0,0,4,0,4,0.0,0.035160000000000004,0.0,,,,,-30.0318,-51.2065
2020-03-13,Brazil,SC,TOTAL,0,0,1,3,0,2,0.0,0.04187,0.0,,,,,-27.5945,-48.5477
2020-03-13,Brazil,SP,TOTAL,0,0,10,56,0,56,0.0,0.12195,0.0,,,,,-23.5329,-46.6395
2020-03-14,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,-9.665989999999999,-35.735
2020-03-14,Brazil,AM,TOTAL,0,0,0,2,0,0,0.0,0.048260000000000004,0.0,,,,,-3.1186599999999998,-60.0212
